Energy (keV),g/Bq/second,Parent,Mode,Particle,Normalized Intensity
10.172,0.00109258,Bi212, Bi212 to Tl208 via Alpha,xray,0.002915212,
10.268,0.00973974,Bi212, Bi212 to Tl208 via Alpha,xray,0.02598758,
10.450,0.000483788,Tl208, Tl208 to Pb208 via Beta,xray,0.001290843,
10.551,0.00430874,Tl208, Tl208 to Pb208 via Beta,xray,0.01149657,
10.994,0.000100991,Bi212, Bi212 to Tl208 via Alpha,xray,0.0002694653,
11.016,1.704e-05,Bi212, Bi212 to Po212 via Beta,xray,4.546603e-05,
11.130,0.000152463,Bi212, Bi212 to Po212 via Beta,xray,0.0004068013,
11.349,6.42531e-05,Tl208, Tl208 to Pb208 via Beta,xray,0.0001714401,
11.812,0.000147354,Bi212, Bi212 to Tl208 via Alpha,xray,0.00039317,
11.931,0.00240798,Bi212, Bi212 to Tl208 via Alpha,xray,0.006424973,
12.085,2.44709e-06,Bi212, Bi212 to Po212 via Beta,xray,6.529332e-06,
12.142,6.72768e-05,Tl208, Tl208 to Pb208 via Beta,xray,0.0001795079,
12.213,0.00442062,Bi212, Bi212 to Tl208 via Alpha,xray,0.0117951,
12.261,0.00240798,Bi212, Bi212 to Tl208 via Alpha,xray,0.006424973,
12.307,0.00018142,Tl208, Tl208 to Pb208 via Beta,xray,0.0004840662,
12.390,0.00291114,Bi212, Bi212 to Tl208 via Alpha,xray,0.007767505,
12.611,0.0010734,Tl208, Tl208 to Pb208 via Beta,xray,0.002864058,
12.614,0.0027969,Tl208, Tl208 to Pb208 via Beta,xray,0.007462687,
12.643,0.000283926,Bi212, Bi212 to Tl208 via Alpha,xray,0.0007575714,
12.794,0.000219216,Tl208, Tl208 to Pb208 via Beta,xray,0.0005849133,
12.823,2.4599e-06,Bi212, Bi212 to Po212 via Beta,xray,6.563516e-06,
13.015,0.000138711,Tl208, Tl208 to Pb208 via Beta,xray,0.0003701089,
13.084,6.59818e-06,Bi212, Bi212 to Po212 via Beta,xray,1.760527e-05,
13.328,3.77954e-05,Bi212, Bi212 to Po212 via Beta,xray,0.0001008457,
13.443,0.000101855,Bi212, Bi212 to Po212 via Beta,xray,0.0002717706,
13.635,7.49502e-06,Bi212, Bi212 to Po212 via Beta,xray,1.999821e-05,
13.778,5.63728e-06,Bi212, Bi212 to Po212 via Beta,xray,1.504139e-05,
14.291,0.00091647,Bi212, Bi212 to Tl208 via Alpha,xray,0.002445326,
14.625,0.00079068,Bi212, Bi212 to Tl208 via Alpha,xray,0.002109693,
14.683,0.000150948,Bi212, Bi212 to Tl208 via Alpha,xray,0.0004027595,
14.738,0.00104226,Bi212, Bi212 to Tl208 via Alpha,xray,0.002780958,
14.765,0.000585837,Tl208, Tl208 to Pb208 via Beta,xray,0.00156313,
15.097,6.04735e-05,Tl208, Tl208 to Pb208 via Beta,xray,0.0001613554,
15.178,0.000100537,Tl208, Tl208 to Pb208 via Beta,xray,0.0002682533,
15.216,7.93715e-05,Tl208, Tl208 to Pb208 via Beta,xray,0.0002117789,
15.742,2.19085e-05,Bi212, Bi212 to Po212 via Beta,xray,5.845632e-05,
16.077,2.37022e-06,Bi212, Bi212 to Po212 via Beta,xray,6.324222e-06,
16.203,4.22796e-06,Bi212, Bi212 to Po212 via Beta,xray,1.128104e-05,
16.213,2.75458e-06,Bi212, Bi212 to Po212 via Beta,xray,7.349771e-06,
39.857,0.0106382,Bi212, Bi212 to Tl208 via Alpha,gamma,0.02838495,
70.184,3.9534e-07,Bi212, Bi212 to Tl208 via Alpha,xray,1.054846e-06,
70.833,0.000276738,Bi212, Bi212 to Tl208 via Alpha,xray,0.0007383924,
72.144,1.20947e-05,Tl208, Tl208 to Pb208 via Beta,xray,3.227108e-05,
72.805,0.00789935,Tl208, Tl208 to Pb208 via Beta,xray,0.02107705,
72.873,0.00046722,Bi212, Bi212 to Tl208 via Alpha,xray,0.001246637,
74.969,0.0132664,Tl208, Tl208 to Pb208 via Beta,xray,0.03539734,
76.172,1.83212e-06,Bi212, Bi212 to Po212 via Beta,xray,4.888452e-06,
76.863,0.000260084,Bi212, Bi212 to Po212 via Beta,xray,0.0006939552,
79.290,0.000436249,Bi212, Bi212 to Po212 via Beta,xray,0.001163999,
82.115,5.391e-05,Bi212, Bi212 to Tl208 via Alpha,xray,0.0001438427,
82.574,0.00010782,Bi212, Bi212 to Tl208 via Alpha,xray,0.0002876854,
83.093,3.01896e-06,Bi212, Bi212 to Tl208 via Alpha,xray,8.05519e-06,
84.450,0.00157987,Tl208, Tl208 to Pb208 via Beta,xray,0.00421541,
84.865,3.88152e-05,Bi212, Bi212 to Tl208 via Alpha,xray,0.0001035667,
84.938,0.00303501,Tl208, Tl208 to Pb208 via Beta,xray,0.008098024,
85.134,7.5474e-06,Bi212, Bi212 to Tl208 via Alpha,xray,2.013797e-05,
85.470,8.84425e-05,Tl208, Tl208 to Pb208 via Beta,xray,0.0002359823,
87.300,0.00110742,Tl208, Tl208 to Pb208 via Beta,xray,0.002954821,
87.580,0.000249453,Tl208, Tl208 to Pb208 via Beta,xray,0.000665591,
89.256,5.19527e-05,Bi212, Bi212 to Po212 via Beta,xray,0.0001386201,
89.807,9.9293e-05,Bi212, Bi212 to Po212 via Beta,xray,0.0002649336,
90.363,3.08129e-06,Bi212, Bi212 to Po212 via Beta,xray,8.221488e-06,
92.317,3.67704e-05,Bi212, Bi212 to Po212 via Beta,xray,9.81109e-05,
92.618,1.03137e-05,Bi212, Bi212 to Po212 via Beta,xray,2.751891e-05,
180.200,3.203e-05,Bi212, Bi212 to Po212 via Beta,gamma,8.546245e-05,
211.400,0.000674612,Tl208, Tl208 to Pb208 via Beta,gamma,0.0018,
233.360,0.00116183,Tl208, Tl208 to Pb208 via Beta,gamma,0.0031,
252.610,0.00262349,Tl208, Tl208 to Pb208 via Beta,gamma,0.007,
277.358,0.0238363,Tl208, Tl208 to Pb208 via Beta,gamma,0.0636,
288.200,0.00337117,Bi212, Bi212 to Tl208 via Alpha,gamma,0.008994962,
328.030,0.00125431,Bi212, Bi212 to Tl208 via Alpha,gamma,0.00334674,
433.700,0.000168918,Bi212, Bi212 to Tl208 via Alpha,gamma,0.000450707,
452.800,0.00362994,Bi212, Bi212 to Tl208 via Alpha,gamma,0.009685406,
473.000,0.00050316,Bi212, Bi212 to Tl208 via Alpha,gamma,0.001342532,
485.950,0.000187392,Tl208, Tl208 to Pb208 via Beta,gamma,0.0005,
493.300,3.594e-05,Bi212, Bi212 to Tl208 via Alpha,gamma,9.589511e-05,
510.770,0.0854509,Tl208, Tl208 to Pb208 via Beta,gamma,0.228,
583.191,0.319316,Tl208, Tl208 to Pb208 via Beta,gamma,0.852,
587.700,0.000149914,Tl208, Tl208 to Pb208 via Beta,gamma,0.0004,
650.100,0.000134922,Tl208, Tl208 to Pb208 via Beta,gamma,0.00036,
705.200,8.24526e-05,Tl208, Tl208 to Pb208 via Beta,gamma,0.00022,
722.040,0.000760813,Tl208, Tl208 to Pb208 via Beta,gamma,0.00203,
727.330,0.0666865,Bi212, Bi212 to Po212 via Beta,gamma,0.1779328,
748.700,0.000161157,Tl208, Tl208 to Pb208 via Beta,gamma,0.00043,
763.130,0.00685856,Tl208, Tl208 to Pb208 via Beta,gamma,0.0183,
785.370,0.0110183,Bi212, Bi212 to Po212 via Beta,gamma,0.02939909,
821.200,0.000149914,Tl208, Tl208 to Pb208 via Beta,gamma,0.0004,
860.564,0.0469605,Tl208, Tl208 to Pb208 via Beta,gamma,0.1253,
883.300,0.000116183,Tl208, Tl208 to Pb208 via Beta,gamma,0.00031,
893.408,0.00377954,Bi212, Bi212 to Po212 via Beta,gamma,0.01008457,
927.600,0.000494715,Tl208, Tl208 to Pb208 via Beta,gamma,0.00132,
952.120,0.00166556,Bi212, Bi212 to Po212 via Beta,gamma,0.004444048,
982.700,0.000768308,Tl208, Tl208 to Pb208 via Beta,gamma,0.00205,
1004.000,1.87392e-05,Tl208, Tl208 to Pb208 via Beta,gamma,5e-05,
1073.600,0.00016015,Bi212, Bi212 to Po212 via Beta,gamma,0.0004273123,
1078.620,0.00563728,Bi212, Bi212 to Po212 via Beta,gamma,0.01504139,
1093.900,0.00149914,Tl208, Tl208 to Pb208 via Beta,gamma,0.004,
1125.700,1.87392e-05,Tl208, Tl208 to Pb208 via Beta,gamma,5e-05,
1160.800,4.12263e-05,Tl208, Tl208 to Pb208 via Beta,gamma,0.00011,
1185.200,6.37134e-05,Tl208, Tl208 to Pb208 via Beta,gamma,0.00017,
1282.800,0.000194888,Tl208, Tl208 to Pb208 via Beta,gamma,0.00052,
1381.100,2.62349e-05,Tl208, Tl208 to Pb208 via Beta,gamma,7e-05,
1512.700,0.0028827,Bi212, Bi212 to Po212 via Beta,gamma,0.007691621,
1620.500,0.0146697,Bi212, Bi212 to Po212 via Beta,gamma,0.03914181,
1647.500,7.49569e-06,Tl208, Tl208 to Pb208 via Beta,gamma,2e-05,
1679.700,0.00057654,Bi212, Bi212 to Po212 via Beta,gamma,0.001538324,
1744.000,7.49569e-06,Tl208, Tl208 to Pb208 via Beta,gamma,2e-05,
1800.200,4.09984e-05,Bi212, Bi212 to Po212 via Beta,gamma,0.0001093919,
1806.000,0.00089684,Bi212, Bi212 to Po212 via Beta,gamma,0.002392949,
2614.533,0.374784,Tl208, Tl208 to Pb208 via Beta,gamma,1,

